Minimum address;Maximum address;Segments;Segment sizes;Shared objects;Requested names;Average entropy;Maximum block entropy;Minimum block entropy;Median block entropy;Standard deviation block entropy;Packed;Packer
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xac892, filesize=0xac892, offset=0x0>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x4ad000, memsize=0x13c9e8, filesize=0x0, offset=0x0>]>;[706706, 1296872];pakkero_listplugins,extern-address space,cle##tls;set();7.44873548550814;7.705394611253959;4.776934656733058;7.539261553555468;0.23526249184884807;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xac80a, filesize=0xac80a, offset=0x0>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x4ad000, memsize=0x13c9e8, filesize=0x0, offset=0x0>]>;[706570, 1296872];pakkero_lsblk,extern-address space,cle##tls;set();7.452284981204943;7.68380382236237;4.765851508216052;7.545396627317512;0.23467609657425564;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xac84a, filesize=0xac84a, offset=0x0>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x4ad000, memsize=0x13c9e8, filesize=0x0, offset=0x0>]>;[706634, 1296872];pakkero_killall,extern-address space,cle##tls;set();7.453927461481152;7.721391932709707;4.247927513443583;7.544205923265878;0.23895619446439584;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xac832, filesize=0xac832, offset=0x0>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x4ad000, memsize=0x13c9e8, filesize=0x0, offset=0x0>]>;[706610, 1296872];pakkero_pamoil,extern-address space,cle##tls;set();7.448143273197308;7.683608772616062;4.758395611505379;7.538616737624469;0.23498138428075205;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xac882, filesize=0xac882, offset=0x0>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x4ad000, memsize=0x13c9e8, filesize=0x0, offset=0x0>]>;[706690, 1296872];pakkero_pstree,extern-address space,cle##tls;set();7.452113988127227;7.679109236436768;4.790539739162049;7.543250593468418;0.2337225047379283;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xac83a, filesize=0xac83a, offset=0x0>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x4ad000, memsize=0x13c9e8, filesize=0x0, offset=0x0>]>;[706618, 1296872];pakkero_lslogins,extern-address space,cle##tls;set();7.451594713886969;7.708507166026289;4.763156367841471;7.543991846787311;0.2338637868277006;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xc0864, filesize=0xc0864, offset=0x0>, <ELFSegment flags=0x4, relro=0x0, vaddr=0x4c1000, memsize=0xf1845, filesize=0xf1845, offset=0xc1000>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x5b3000, memsize=0x369e8, filesize=0x17bb0, offset=0x1b3000>]>;[788580, 989253, 223720];pakkero_pkexec,extern-address space,cle##tls;set();5.5350365742463765;7.924806127714187;0.0;5.347570683310543;1.8281445833343568;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xac84a, filesize=0xac84a, offset=0x0>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x4ad000, memsize=0x13c9e8, filesize=0x0, offset=0x0>]>;[706634, 1296872];pakkero_logger,extern-address space,cle##tls;set();7.447340670427393;7.691068129125077;4.7712539911524265;7.538171204129403;0.23509320356530877;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xc0864, filesize=0xc0864, offset=0x0>, <ELFSegment flags=0x4, relro=0x0, vaddr=0x4c1000, memsize=0xf1885, filesize=0xf1885, offset=0xc1000>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x5b3000, memsize=0x369e8, filesize=0x17bb0, offset=0x1b3000>]>;[788580, 989317, 223720];pakkero_lstmtraining,extern-address space,cle##tls;set();5.584546818276643;7.924806127714187;0.0;5.381406787630842;1.8325054559705696;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xac882, filesize=0xac882, offset=0x0>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x4ad000, memsize=0x13c9e8, filesize=0x0, offset=0x0>]>;[706690, 1296872];pakkero_pwdx,extern-address space,cle##tls;set();7.449385785343027;7.696638459221981;4.785509577681424;7.542771696910952;0.23405067715658104;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xc0864, filesize=0xc0864, offset=0x0>, <ELFSegment flags=0x4, relro=0x0, vaddr=0x4c1000, memsize=0xf1865, filesize=0xf1865, offset=0xc1000>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x5b3000, memsize=0x369e8, filesize=0x17bb0, offset=0x1b3000>]>;[788580, 989285, 223720];pakkero_pstopnm,extern-address space,cle##tls;set();5.594963692049219;7.924806127714187;0.0;5.387467774256885;1.834450048879318;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xac89a, filesize=0xac89a, offset=0x0>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x4ad000, memsize=0x13c9e8, filesize=0x0, offset=0x0>]>;[706714, 1296872];pakkero_ls,extern-address space,cle##tls;set();7.447759979138144;7.709622730465639;4.781798377427732;7.538290047864539;0.23624262822440048;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xac8a2, filesize=0xac8a2, offset=0x0>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x4ad000, memsize=0x13c9e8, filesize=0x0, offset=0x0>]>;[706722, 1296872];pakkero_prlimit,extern-address space,cle##tls;set();7.455770047357028;7.688836677826116;4.773985877427732;7.548852208953372;0.23392655986771083;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xc0864, filesize=0xc0864, offset=0x0>, <ELFSegment flags=0x4, relro=0x0, vaddr=0x4c1000, memsize=0xf1865, filesize=0xf1865, offset=0xc1000>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x5b3000, memsize=0x369e8, filesize=0x17bb0, offset=0x1b3000>]>;[788580, 989285, 223720];pakkero_kbxutil,extern-address space,cle##tls;set();5.618320422305321;7.924806127714187;0.0;5.407187340119659;1.8361432696659752;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xc0864, filesize=0xc0864, offset=0x0>, <ELFSegment flags=0x4, relro=0x0, vaddr=0x4c1000, memsize=0xf1855, filesize=0xf1855, offset=0xc1000>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x5b3000, memsize=0x369e8, filesize=0x17bb0, offset=0x1b3000>]>;[788580, 989269, 223720];pakkero_networkctl,extern-address space,cle##tls;set();5.620103172577524;7.924806127714187;0.0;5.40784652024151;1.8365234509631592;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xc0864, filesize=0xc0864, offset=0x0>, <ELFSegment flags=0x4, relro=0x0, vaddr=0x4c1000, memsize=0xf187d, filesize=0xf187d, offset=0xc1000>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x5b3000, memsize=0x369e8, filesize=0x17bb0, offset=0x1b3000>]>;[788580, 989309, 223720];pakkero_look,extern-address space,cle##tls;set();5.509967485567174;7.924806127714187;0.0;5.337424353924833;1.8244767543346683;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xc0864, filesize=0xc0864, offset=0x0>, <ELFSegment flags=0x4, relro=0x0, vaddr=0x4c1000, memsize=0xf180d, filesize=0xf180d, offset=0xc1000>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x5b3000, memsize=0x369e8, filesize=0x17bb0, offset=0x1b3000>]>;[788580, 989197, 223720];pakkero_lynx,extern-address space,cle##tls;set();5.554995262256587;7.924806127714187;0.0;5.36023967821647;1.8306514421019429;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xc0864, filesize=0xc0864, offset=0x0>, <ELFSegment flags=0x4, relro=0x0, vaddr=0x4c1000, memsize=0xf183d, filesize=0xf183d, offset=0xc1000>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x5b3000, memsize=0x369e8, filesize=0x17bb0, offset=0x1b3000>]>;[788580, 989245, 223720];pakkero_nstat,extern-address space,cle##tls;set();5.558528784940616;7.924806127714187;0.0;5.362365233176924;1.831163656403822;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xac89a, filesize=0xac89a, offset=0x0>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x4ad000, memsize=0x13c9e8, filesize=0x0, offset=0x0>]>;[706714, 1296872];pakkero_patch,extern-address space,cle##tls;set();7.451563222967646;7.688786225582048;4.787179017080395;7.545906636944152;0.23303148839435392;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xac82a, filesize=0xac82a, offset=0x0>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x4ad000, memsize=0x13c9e8, filesize=0x0, offset=0x0>]>;[706602, 1296872];pakkero_localectl,extern-address space,cle##tls;set();7.452718224438834;7.685882539218723;4.796877849509387;7.546517712269059;0.23443448092616015;1;pakkero
